('50plus', '50 plus')
('usairway', 'us airways')
('satue of liberty', 'statue of liberty')
('psuedopregnancy', 'pseudopregnancy')
('legal advise', 'legal advice')
('dynonobel', 'dyno nobel')
('free inmigration forms', 'free immigration forms')
('arizonalottery', 'arizona lottery')
('wownylonvideos', 'wow nylon videos')
('who was lincolns vice president', "who was lincoln's vice president")
('salisburync', 'salisbury nc')
('msdha', 'mshda')
('newmoon', 'new moon')
('welch corgi', 'welsh corgi')
('depression symtoms', 'depression symptoms')
('baltimorecity', 'baltimore city')
('wdot employment', 'wsdot employment')
('hardees', "hardee's")
('variocose veins', 'varicose veins')
('smalltopsites', 'small top sites')
('benedryl for dog', 'benadryl for dog')
('us posmaster', 'us postmaster')
('ziune', 'zune')
('the food pyrimid', 'the food pyramid')
('buddishim', 'buddhism')
('aircanada', 'air canada')
('christianpublishing', 'christian publishing')
('roxcoal', 'rox coal')
('acces indiana', 'access indiana')
('peacecorp', 'peace corp')
('aluminium extrusion', 'aluminum extrusion')
('buiness grants', 'business grants')
('caudel epidural', 'caudal epidural')
('honsodor hawaii', 'honsador hawaii')
('dictonaries', 'dictionaries')
('taxschedule', 'tax schedule')
('flashyour', 'flash your')
('birthcontrol yasmin', 'birth control yasmin')
('garnerella', 'gardnerella')
('acutron', 'accutron')
('oaklandtribune', 'oakland tribune')
('circumferance', 'circumference')
('sherrifoffice', 'sheriff office')
('heat weld vynil', 'heat weld vinyl')
('pctraining', 'pc training')
('ok432', 'ok 432')
('zylotol', 'xylitol')
('wilsons disease', "wilson's disease")
('ecoli in the blood', 'e coli in the blood')
('squash cassarole recipes', 'squash casserole recipes')
('menorraghia', 'menorrhagia')
('mshaa', 'mhsaa')
('800contacts', '800 contacts')
('westpark in buckeye', 'west park in buckeye')
('weather in eastern carribbean', 'weather in eastern caribbean')
('weater', 'weather')
('club pengui', 'club penguin')
('row row row your boat lyrics', '   your boat lyrics')
('foodnetwork', 'food network')
('abbeyville sc', 'abbeville sc')
('studentjobs', 'student jobs')
('choreathetosis', 'choreoathetosis')
